word,part of speech,definition
pack,noun,"a group of things wrapped or tied together for easy handling or carrying; a bundle, especially one to be carried on the back of an animal or a person"
paddle,noun,"a short, flat bladed oar for propelling and steering a canoe or small boat, usually held by both hands and moved more or less through a vertical arc."
pad,noun,"a cushionlike mass of soft material  for comfort, protection, or stuffing."
page,noun,"one side of a leaf of something printed or written, as a book, manuscript, or letter."
pail,noun,bucket.
painfully,adjective,"affected with, causing, or characterized by pain"
paint,noun,"a substance composed of solid coloring matter suspended in a liquid medium and applied as a protective or decorative coating to various surfaces, or to canvas or other materials in producing a work of art."
paint,noun,"a substance composed of solid coloring matter suspended in a liquid medium and applied as a protective or decorative coating to various surfaces, or to canvas or other materials in producing a work of art."
pain,noun,"physical suffering or distress, as due to injury, illness, etc."
palaver,noun,a conference or discussion.
pale,adjective,light-colored or lacking in color
palm,noun,the part of the inner surface of the hand that extends from the wrist to the bases of the fingers.
palpate,verb,"to examine by touch, especially for the purpose of diagnosing disease or illness."
pamper,verb,"to treat or gratify with extreme or excessive indulgence, kindness, or care"
pancake,noun,"a thin, flat cake of batter fried on both sides on a griddle or in a frying pan; griddlecake or flapjack."
panic,noun,"a sudden overwhelming fear, with or without cause, that produces hysterical or irrational behavior, and that often spreads quickly through a group of persons or animals."
pant,verb,"to breathe hard and quickly, as after exertion."
pan,noun,"a broad, shallow container of metal, usually having sides flaring outward toward the top,  in various forms for frying, baking, washing, etc."
paper,noun,"a substance made from wood pulp, rags, straw, or other fibrous material, usually in thin sheets,  to bear writing or printing, for wrapping things, etc."
parade,noun,"a large public procession, usually including a marching band and often of a festive nature, held in honor of an anniversary, person, event, etc."
paraphrase,noun,"a restatement of a text or passage giving the meaning in another form, as for clearness; rewording."
parcel,noun,"an object, article, container, or quantity of something wrapped or packed up; small package; bundle."
pardon,noun,"kind indulgence, as in forgiveness of an offense or discourtesy or in tolerance of a distraction or inconvenience"
parent,noun,a father or a mother.
park,noun,"an area of land, usually in a largely natural state, for the enjoyment of the public, having facilities for rest and recreation, often owned, set apart, and managed by a city, state, or nation."
park,noun,"an area of land, usually in a largely natural state, for the enjoyment of the public, having facilities for rest and recreation, often owned, set apart, and managed by a city, state, or nation."
parrot,noun,"any of numerous hook-billed, often brilliantly colored birds of the order Psittaciformes, as the cockatoo, lory, macaw, or parakeet, having the ability to mimic speech and often kept as pets."
parry,verb,"to ward off (a thrust, stroke, weapon, etc.), as in fencing; avert."
partially,adjective,being such in part only; not total or general; incomplete
participate,verb,"to take or have a part or share, as with others; partake; share (usually followed by in)"
partner,noun,a person who shares or is associated with another in some action or endeavor; sharer; associate.
party,noun,"a social gathering, as of invited guests at a private home, for conversation, refreshments, entertainment, etc."
part,noun,"a portion or division of a whole that is separate or distinct; piece, fragment, fraction, or section; constituent"
part,noun,"a portion or division of a whole that is separate or distinct; piece, fragment, fraction, or section; constituent"
passenger,noun,"a person who is traveling in an automobile, bus, train, airplane, or other conveyance, especially one who is not the driver, pilot, or the like."
pass,verb,to move past; go by
paste,noun,"a mixture of flour and water, often with starch or the like,  for causing paper or other material to adhere to something."
patch,noun,"a small piece of material  to mend a tear or break, to cover a hole, or to strengthen a weak place"
patch,noun,"a small piece of material  to mend a tear or break, to cover a hole, or to strengthen a weak place"
patiently,noun,a person who is under medical care or treatment.
patrol,verb,"(of a police officer, soldier, etc.) to pass along a road, beat, etc., or around or through a specified area in order to maintain order and security."
patronize,verb,"to give (a store, restaurant, hotel, etc.) one's regular patronage; trade with."
pat,verb,"to strike lightly or gently with something flat, as with a paddle or the palm of the hand, usually in order to flatten, smooth, or shape"
pause,noun,"a temporary stop or rest, especially in speech or action"
paw,noun,the foot of an animal having claws.
payment,noun,something that is paid; an amount paid; compensation; recompense.
pay,verb,"to settle (a debt, obligation, etc.), as by transferring money or goods, or by doing something"
peace,noun,"the normal, nonwarring condition of a nation, group of nations, or the world."
pear,noun,"the edible fruit, typically rounded but elongated and growing smaller toward the stem, of a tree, Pyrus communis, of the rose family."
peck,noun,"a dry measure of 8 quarts; the fourth part of a bushel, equal to 537.6 cubic inches (8.81 liters)."
pedal,noun,"a foot-operated lever  to control certain mechanisms, as automobiles, or to play or modify the sounds of certain musical instruments, as pianos, organs, or harps."
